gene,day,gDNA,mRNA
RBPMS,day 5,-0.4,-0.02
RBPMS,day 13,0.15,0.63
RBPMS,day 21,0.07,0.99
RBPMS2,day 5,0.8,0.31
RBPMS2,day 13,1.78,1.29
RBPMS2,day 21,1.79,1.57
RC3H1,day 5,0.03,0.26
RC3H1,day 13,1.04,1.43
RC3H1,day 21,1.94,2.09
RC3H2,day 5,-0.35,0.05
RC3H2,day 13,-0.04,0.66
RC3H2,day 21,0.32,1.26
RCC1L,day 5,0.04,-0.05
RCC1L,day 13,-1.33,-2.64
RCC1L,day 21,-2.39,-4.85
RCC2,day 5,0.54,0.17
RCC2,day 13,0.61,0.63
RCC2,day 21,0.74,1.2
RCL1,day 5,0.21,0.02
RCL1,day 13,-3,-2.9
RCL1,day 21,-2.59,-3.78
RDM1,day 5,0.06,-0.01
RDM1,day 13,0.68,0.44
RDM1,day 21,1.13,0.38
RDX,day 5,0.22,0.31
RDX,day 13,1.46,1.54
RDX,day 21,2.04,2.12
REPIN1,day 5,-0.38,-0.14
REPIN1,day 13,0.26,0.66
REPIN1,day 21,0.85,1.01
REXO1,day 5,0.54,-0.08
REXO1,day 13,-0.45,-0.43
REXO1,day 21,0.07,-0.66
REXO2,day 5,-0.56,-0.16
REXO2,day 13,-0.27,-1.62
REXO2,day 21,-0.68,-2.46
REXO4,day 5,0.3,-0.06
REXO4,day 13,1.58,0.63
REXO4,day 21,1.95,0.75
RFC4,day 5,0.33,0.16
RFC4,day 13,-1.52,-1.65
RFC4,day 21,-0.45,-1.31
RIDA,day 5,0.1,0.05
RIDA,day 13,0.82,0.95
RIDA,day 21,1.39,1.62
RIF1,day 5,-0.51,0.1
RIF1,day 13,0.07,0.01
RIF1,day 21,0.37,-0.05
RIGI,day 5,-0.19,0.16
RIGI,day 13,0.4,0.96
RIGI,day 21,0.54,1.33
RIMS1,day 5,0.39,0.13
RIMS1,day 13,0.81,1.13
RIMS1,day 21,0.86,1.44
RINT1,day 5,0.31,0.4
RINT1,day 13,-0.88,-0.84
RINT1,day 21,-1.29,-0.7
RIOK1,day 5,-0.59,0.01
RIOK1,day 13,-1.43,-3.4
RIOK1,day 21,-1.31,-3.84
RIOK2,day 5,0.01,0.32
RIOK2,day 13,-0.13,-0.66
RIOK2,day 21,-0.14,0.13
RIOK3,day 5,-0.29,0
RIOK3,day 13,1.04,0.47
RIOK3,day 21,0.76,0.98
RNASE1,day 5,-0.16,0.21
RNASE1,day 13,0.65,0.99
RNASE1,day 21,1.12,2.02
RNASE10,day 5,-0.7,0.04
RNASE10,day 13,-1.13,0.74
RNASE10,day 21,0.47,1.38
RNASE11,day 5,0.18,0.2
RNASE11,day 13,0.8,0.79
RNASE11,day 21,1.69,0.91
RNASE12,day 5,0.27,0.22
RNASE12,day 13,1.01,1.04
RNASE12,day 21,1.16,1.71
RNASE13,day 5,-0.88,-0.34
RNASE13,day 13,-0.86,-0.19
RNASE13,day 21,-1.38,-0.25
RNASE2,day 5,0.45,0.18
RNASE2,day 13,0.33,0.1
RNASE2,day 21,-0.28,0.03
RNASE3,day 5,-0.09,0.31
RNASE3,day 13,1.24,1.32
RNASE3,day 21,2.18,2.14
RNASE4,day 5,0.13,0.1
RNASE4,day 13,0.71,0.61
RNASE4,day 21,0.78,1.03
RNASE6,day 5,-0.08,0.36
RNASE6,day 13,1.11,1.03
RNASE6,day 21,0.84,1.98
RNASE7,day 5,0.27,0.24
RNASE7,day 13,1.06,1.22
RNASE7,day 21,1.65,2.05
RNASE8,day 5,0.23,0.01
RNASE8,day 13,0.19,0.4
RNASE8,day 21,1.42,0.5
RNASE9,day 5,0.38,0.19
RNASE9,day 13,1.27,0.85
RNASE9,day 21,1.66,1.48
RNASEH1,day 5,-1.11,0.02
RNASEH1,day 13,-0.31,0.1
RNASEH1,day 21,-0.86,-0.61
RNASEH2A,day 5,-0.03,-0.13
RNASEH2A,day 13,0.25,0.38
RNASEH2A,day 21,-2.02,-1.27
RNASEH2B,day 5,0.08,0.26
RNASEH2B,day 13,1.09,1.06
RNASEH2B,day 21,-0.14,0.5
RNASEH2C,day 5,-0.28,0.08
RNASEH2C,day 13,0.19,0.68
RNASEH2C,day 21,-0.71,0.35
RNASEK,day 5,-0.81,0.11
RNASEK,day 13,-2.05,-2.33
RNASEK,day 21,-1.61,-3.78
RNASEL,day 5,-0.3,-0.25
RNASEL,day 13,0.31,1.13
RNASEL,day 21,-1.02,1.63
RNASET2,day 5,0.84,0.36
RNASET2,day 13,1.28,1.73
RNASET2,day 21,2.25,2.85
RNF10,day 5,0.11,0.03
RNF10,day 13,0.44,0.48
RNF10,day 21,0.1,0.54
RNF113A,day 5,0.17,-0.18
RNF113A,day 13,-1.17,-2.81
RNF113A,day 21,-0.61,-1.78
RNF113B,day 5,0.21,0.12
RNF113B,day 13,0.86,1.23
RNF113B,day 21,1.03,1.9
RNF17,day 5,0.53,0.19
RNF17,day 13,1.67,1.13
RNF17,day 21,1.23,1.55
RNGTT,day 5,-0.7,-0.63
RNGTT,day 13,-0.09,-2.19
RNGTT,day 21,0.47,-1.69
RNH1,day 5,-0.35,0.06
RNH1,day 13,0.35,0.25
RNH1,day 21,-0.73,-0.32
RNMT,day 5,-0.07,0.55
RNMT,day 13,-2.12,-0.93
RNMT,day 21,-2.18,-1.79
RNPC3,day 5,-0.5,-0.43
RNPC3,day 13,-2.19,-3.54
RNPC3,day 21,-1.48,-3.32
RNPS1,day 5,-0.55,0.12
RNPS1,day 13,-2.14,-2.31
RNPS1,day 21,-1.9,-3.17
RO60,day 5,-0.18,0.02
RO60,day 13,-0.15,0.34
RO60,day 21,-0.85,0.18
ROCK2,day 5,-0.21,0.13
ROCK2,day 13,1.62,1.32
ROCK2,day 21,2.07,2
ROR2,day 5,-0.31,0.51
ROR2,day 13,1.94,1.89
ROR2,day 21,2.41,2.57
RP9,day 5,-0.34,-0.04
RP9,day 13,0.77,1.24
RP9,day 21,2.15,1.46
RPA1,day 5,0.18,-0.42
RPA1,day 13,-2.09,-4.01
RPA1,day 21,-3.4,-4.9
RPA2,day 5,-0.24,-0.05
RPA2,day 13,-2.59,-1.54
RPA2,day 21,-0.9,-1.59
RPF1,day 5,-0.61,-0.42
RPF1,day 13,-2.86,-3.76
RPF1,day 21,-2.88,-4.58
RPF2,day 5,-0.19,-0.31
RPF2,day 13,-2.3,-3.9
RPF2,day 21,-1.75,-4.07
RPGR,day 5,0.2,-0.03
RPGR,day 13,0.19,0.68
RPGR,day 21,0.5,0.72
RPL10,day 5,-0.78,-0.86
RPL10,day 13,-2.3,-3.84
RPL10,day 21,-2.03,-3.95
RPL10A,day 5,-0.38,-1.26
RPL10A,day 13,-3.05,-5.54
RPL10A,day 21,-2.59,-5.2
RPL10L,day 5,-0.15,-0.25
RPL10L,day 13,0,0.09
RPL10L,day 21,0.66,0.12
RPL11,day 5,-1.32,-1.43
RPL11,day 13,-2.31,-5.2
RPL11,day 21,-1.16,-4.22
RPL12,day 5,-0.82,-1.97
RPL12,day 13,-3.05,-4.43
RPL12,day 21,-1.09,-3.52
RPL13,day 5,-2.18,-0.7
RPL13,day 13,-2.1,-3.85
RPL13,day 21,-2.03,-4.06
RPL13A,day 5,-0.44,-0.68
RPL13A,day 13,-1.99,-3.02
RPL13A,day 21,-1.91,-2.64
RPL14,day 5,-3.52,-1.24
RPL14,day 13,-2.6,-6.09
RPL14,day 21,-2.41,-5.11
RPL15,day 5,-0.03,-0.71
RPL15,day 13,-3.55,-5.84
RPL15,day 21,-3.5,-6.18
RPL17,day 5,-1.32,-1.35
RPL17,day 13,-3.02,-5.32
RPL17,day 21,-2.31,-4.34
RPL17-C18ORF32,day 5,-2.62,-1.8
RPL17-C18ORF32,day 13,-1.99,-4.97
RPL17-C18ORF32,day 21,-2.03,-4.61
RPL18,day 5,-1.86,-0.68
RPL18,day 13,-3.08,-4.68
RPL18,day 21,-2.6,-4.46
RPL18A,day 5,-0.7,-0.83
RPL18A,day 13,-3.21,-5.95
RPL18A,day 21,-2.5,-5
RPL19,day 5,-1.59,-1.84
RPL19,day 13,-2.9,-6.48
RPL19,day 21,-2.28,-5.49
RPL21,day 5,-0.84,-1.1
RPL21,day 13,-4.15,-5
RPL21,day 21,-3.04,-5.27
RPL22,day 5,-0.55,-0.83
RPL22,day 13,-2.82,-3.16
RPL22,day 21,-3.1,-3.4
RPL22L1,day 5,0.02,-0.45
RPL22L1,day 13,-0.52,0.12
RPL22L1,day 21,-0.44,-0.09
RPL23,day 5,-0.52,-0.58
RPL23,day 13,-3.69,-5.57
RPL23,day 21,-3.54,-4.81
RPL23A,day 5,-1.81,-1.6
RPL23A,day 13,-4.95,-5.47
RPL23A,day 21,-3.28,-5
RPL24,day 5,-1.2,-1.18
RPL24,day 13,-3.88,-6.34
RPL24,day 21,-3.17,-5.45
RPL26,day 5,-0.21,-0.65
RPL26,day 13,-2.62,-3.4
RPL26,day 21,-1.84,-4.38
RPL26L1,day 5,-0.56,-0.41
RPL26L1,day 13,0.36,0.34
RPL26L1,day 21,0.23,1.37
RPL27,day 5,-3.7,-0.95
RPL27,day 13,-3.37,-5.74
RPL27,day 21,-3.06,-4.91
RPL27A,day 5,-1.61,-1.27
RPL27A,day 13,-0.96,-4.83
RPL27A,day 21,-1.39,-3.84
RPL28,day 5,-0.1,-0.17
RPL28,day 13,-2.67,-2.99
RPL28,day 21,-3.4,-6.24
RPL29,day 5,-1.95,-0.33
RPL29,day 13,-0.6,-0.74
RPL29,day 21,-0.54,-0.83
RPL3,day 5,-0.63,-0.48
RPL3,day 13,-2.95,-4.39
RPL3,day 21,-3.64,-4.31
RPL30,day 5,-0.79,-1
RPL30,day 13,-2.5,-5.73
RPL30,day 21,-2,-4.75
RPL31,day 5,-0.6,-0.67
RPL31,day 13,-3.27,-4.77
RPL31,day 21,-2.49,-4.91
RPL32,day 5,-1.13,-0.99
RPL32,day 13,-3.91,-5.68
RPL32,day 21,-3.19,-6.07
RPL34,day 5,-1.14,-1.27
RPL34,day 13,-1.9,-6.25
RPL34,day 21,-1.95,-5.36
RPL35,day 5,-1.23,-1.11
RPL35,day 13,-2.52,-6.01
RPL35,day 21,-2.69,-5.28
RPL35A,day 5,-1.72,-1.34
RPL35A,day 13,-3.76,-6.29
RPL35A,day 21,-3.44,-5.56
RPL36,day 5,0.43,-0.24
RPL36,day 13,-2.06,-2.64
RPL36,day 21,-1.48,-2.71
RPL36A,day 5,-0.56,-0.19
RPL36A,day 13,-0.29,0.33
RPL36A,day 21,0.38,0.96
RPL36AL,day 5,-0.84,-0.24
RPL36AL,day 13,-2.42,-3.66
RPL36AL,day 21,-1.4,-3.69
RPL37,day 5,-0.88,-1.69
RPL37,day 13,-4.51,-6.14
RPL37,day 21,-3.81,-6.09
RPL37A,day 5,-0.08,-0.15
RPL37A,day 13,-2.59,-3.54
RPL37A,day 21,-3.02,-3.39
RPL38,day 5,-0.08,0.15
RPL38,day 13,-2.23,-2.84
RPL38,day 21,-2.87,-4.71
RPL39,day 5,-0.87,-1.26
RPL39,day 13,-1.28,-4.39
RPL39,day 21,-0.57,-4.21
RPL39L,day 5,-0.02,0.34
RPL39L,day 13,1.11,-0.02
RPL39L,day 21,1.69,0.77
RPL3L,day 5,0.95,0.02
RPL3L,day 13,0.5,0.79
RPL3L,day 21,0.28,0.7
RPL4,day 5,-0.81,-0.69
RPL4,day 13,-1.75,-4.59
RPL4,day 21,-2.27,-4.62
RPL41,day 5,0.1,0.04
RPL41,day 13,0.36,-0.63
RPL41,day 21,1.06,-0.55
RPL5,day 5,-1.07,-1.13
RPL5,day 13,-2.14,-5.15
RPL5,day 21,-1.98,-4.25
RPL6,day 5,-1.5,-1.47
RPL6,day 13,-3.38,-6.06
RPL6,day 21,-2.8,-5.43
RPL7,day 5,-1.58,-1.64
RPL7,day 13,-3.82,-4.13
RPL7,day 21,-3.1,-3.73
RPL7A,day 5,0.03,-0.87
RPL7A,day 13,-2.6,-5.37
RPL7A,day 21,-2.62,-4.97
RPL7L1,day 5,-0.49,-0.15
RPL7L1,day 13,-1.44,-2.42
RPL7L1,day 21,-0.64,-1.24
RPL8,day 5,-0.68,-1.12
RPL8,day 13,-3,-7.08
RPL8,day 21,-2.37,-6.49
RPL9,day 5,-1.55,-1.46
RPL9,day 13,-4.58,-6.91
RPL9,day 21,-3.94,-6.18
RPLP0,day 5,-0.98,-1.25
RPLP0,day 13,-3.31,-6.31
RPLP0,day 21,-2.54,-5.89
RPLP1,day 5,-0.98,-0.57
RPLP1,day 13,-2.25,-4.59
RPLP1,day 21,-2.42,-4.52
RPLP2,day 5,-0.3,-1.06
RPLP2,day 13,-2.11,-4.55
RPLP2,day 21,-1.08,-3.41
RPN1,day 5,-0.05,-0.22
RPN1,day 13,-3.1,-2.97
RPN1,day 21,-2.88,-2.83
RPN2,day 5,0.2,0.39
RPN2,day 13,-0.89,-0.07
RPN2,day 21,-0.51,-0.33
RPP14,day 5,-0.26,-0.12
RPP14,day 13,-0.33,-1.92
RPP14,day 21,-0.25,-3.13
RPP21,day 5,0.19,0
RPP21,day 13,-0.98,-4.16
RPP21,day 21,-0.59,-4.64
RPP25,day 5,0.61,0.38
RPP25,day 13,1.51,1.48
RPP25,day 21,2.05,2.19
RPP25L,day 5,0.51,0.05
RPP25L,day 13,0.96,1.05
RPP25L,day 21,1.19,1.67
RPP30,day 5,0.18,-0
RPP30,day 13,-2.08,-4.05
RPP30,day 21,-1.71,-5.12
RPP38,day 5,0.28,0.15
RPP38,day 13,-0.91,-3.43
RPP38,day 21,-2.18,-2.55
RPP40,day 5,0.22,-0.08
RPP40,day 13,-0.68,-1.04
RPP40,day 21,-0.14,-0.35
RPRD1B,day 5,-0.36,-0.22
RPRD1B,day 13,0.11,-0.42
RPRD1B,day 21,-1.41,-1.17
RPRD2,day 5,0.79,0.3
RPRD2,day 13,0.67,0.79
RPRD2,day 21,1.71,1.6
RPS10,day 5,-0.58,-2.23
RPS10,day 13,-2.5,-4.11
RPS10,day 21,-1.79,-4.26
RPS11,day 5,-0.96,-1.39
RPS11,day 13,-1.52,-4.98
RPS11,day 21,-1.76,-4.24
RPS12,day 5,-0.29,-0.78
RPS12,day 13,-0.7,-4.78
RPS12,day 21,-2.27,-5.03
RPS13,day 5,-1.02,-1.37
RPS13,day 13,-2.71,-5.42
RPS13,day 21,-2.14,-5.49
RPS14,day 5,-1.44,-2.08
RPS14,day 13,-1.96,-3.73
RPS14,day 21,-1.25,-2.75
RPS15,day 5,-1.61,-1.05
RPS15,day 13,-2.94,-5.84
RPS15,day 21,-2.22,-4.9
RPS15A,day 5,-0.27,-1.1
RPS15A,day 13,-2.5,-4.09
RPS15A,day 21,-2.6,-4.98
RPS16,day 5,-1.57,-1.87
RPS16,day 13,-2.29,-6.57
RPS16,day 21,-2.39,-5.58
RPS17,day 5,-0.02,-0.62
RPS17,day 13,-2.15,-3.49
RPS17,day 21,-1.75,-4.52
RPS18,day 5,-1.38,-1.46
RPS18,day 13,-1.37,-3.27
RPS18,day 21,-1.19,-2.27
RPS19,day 5,-0.67,-0.86
RPS19,day 13,-1.67,-5.35
RPS19,day 21,-2.08,-4.92
RPS19BP1,day 5,-0.03,-0.17
RPS19BP1,day 13,-1.48,-1.06
RPS19BP1,day 21,-0.93,-1.2
RPS2,day 5,-0.26,-0.25
RPS2,day 13,-3.12,-3.27
RPS2,day 21,-2.59,-4.98
RPS20,day 5,-0.98,-1.87
RPS20,day 13,-3.27,-6.1
RPS20,day 21,-2.55,-5.21
RPS21,day 5,-0.69,-0.29
RPS21,day 13,-1.75,-4.47
RPS21,day 21,-2.6,-4.3
RPS23,day 5,-1.44,-1.5
RPS23,day 13,-2.82,-4.23
RPS23,day 21,-3.05,-4.26
RPS24,day 5,-0.89,-1.1
RPS24,day 13,-5.05,-6.69
RPS24,day 21,-4.33,-6.98
RPS25,day 5,-0.68,-1.25
RPS25,day 13,-2.42,-3.46
RPS25,day 21,-3.19,-4.94
RPS26,day 5,-1.66,-1.26
RPS26,day 13,-2.39,-5.73
RPS26,day 21,-2.25,-4.78
RPS27,day 5,-1.11,-1.69
RPS27,day 13,-2.05,-5.83
RPS27,day 21,-1.47,-4.84
RPS27A,day 5,-1.33,-2.4
RPS27A,day 13,-2.99,-5.94
RPS27A,day 21,-2.31,-5.38
RPS27L,day 5,-0.12,0.14
RPS27L,day 13,0.8,1.14
RPS27L,day 21,1.33,1.77
RPS28,day 5,-0.4,-0.58
RPS28,day 13,-4.09,-6.05
RPS28,day 21,-3.38,-5.32
RPS29,day 5,-0.37,-1.22
RPS29,day 13,-4.05,-5.7
RPS29,day 21,-3.27,-5.89
RPS3,day 5,-0.94,-1.44
RPS3,day 13,-3.26,-5.74
RPS3,day 21,-3.53,-5.78
RPS3A,day 5,-0.06,-1.47
RPS3A,day 13,-2.89,-5.42
RPS3A,day 21,-2.18,-4.44
RPS4X,day 5,-1.21,-1.88
RPS4X,day 13,-2.12,-4.46
RPS4X,day 21,-1.41,-3.48
RPS4Y1,day 5,0.09,0.36
RPS4Y1,day 13,0.61,1.51
RPS4Y1,day 21,1.65,2.25
RPS4Y2,day 5,0.5,-0.17
RPS4Y2,day 13,0.31,0.76
RPS4Y2,day 21,0.86,0.8
RPS5,day 5,-0.8,-1.16
RPS5,day 13,-2.34,-4.9
RPS5,day 21,-1.63,-3.92
RPS6,day 5,-0.88,-1.38
RPS6,day 13,-2.42,-5.61
RPS6,day 21,-1.1,-5.68
RPS7,day 5,-0.64,-0.93
RPS7,day 13,-3.28,-3.64
RPS7,day 21,-3.14,-4.66
RPS8,day 5,-1.21,-1.68
RPS8,day 13,-2.88,-5.39
RPS8,day 21,-2.33,-4.62
RPS9,day 5,-1.02,-0.89
RPS9,day 13,-1.56,-3.61
RPS9,day 21,-0.85,-2.89
RPSA,day 5,-0.95,-1.7
RPSA,day 13,-2.06,-4.37
RPSA,day 21,-1.35,-4.26
RPTOR,day 5,0.2,0.05
RPTOR,day 13,-2.87,-4.34
RPTOR,day 21,-2.12,-5.15
RPUSD1,day 5,0.26,0.18
RPUSD1,day 13,-0.13,0.94
RPUSD1,day 21,0.52,1.65
RPUSD2,day 5,0.2,-0.26
RPUSD2,day 13,0.69,-0.26
RPUSD2,day 21,0.45,0.02
RPUSD3,day 5,0.49,-0.03
RPUSD3,day 13,-0.98,-1.25
RPUSD3,day 21,-1.44,-2.85
RPUSD4,day 5,0.28,0.26
RPUSD4,day 13,-1.65,-2.23
RPUSD4,day 21,-2.43,-5.93
RRBP1,day 5,0.16,0.35
RRBP1,day 13,1.43,1.41
RRBP1,day 21,2.01,2.25
RRM1,day 5,-1.93,-1.23
RRM1,day 13,-3.71,-6.41
RRM1,day 21,-3.14,-5.42
RRP1,day 5,-0.45,-0.35
RRP1,day 13,-0.25,-4.53
RRP1,day 21,-0.11,-3.99
RRP12,day 5,-1.12,-0.52
RRP12,day 13,-3.41,-5.55
RRP12,day 21,-3.07,-5.08
RRP15,day 5,-0.38,0.21
RRP15,day 13,-1.21,-1.62
RRP15,day 21,-1.02,-2.75
RRP1B,day 5,-0.31,0.19
RRP1B,day 13,0.23,0.37
RRP1B,day 21,-0.52,0.32
RRP36,day 5,-0.4,0.05
RRP36,day 13,-1.5,-1.51
RRP36,day 21,-0.9,-1.58
RRP7A,day 5,0.89,-0.79
RRP7A,day 13,-1.01,-2.44
RRP7A,day 21,-3.4,-2.19
RRP8,day 5,1.01,0.53
RRP8,day 13,1.75,1.65
RRP8,day 21,2.05,2.13
RRP9,day 5,-0.32,-0.29
RRP9,day 13,-2.12,-4.79
RRP9,day 21,-2.25,-4.32
RRS1,day 5,0.3,-0.01
RRS1,day 13,-1.65,-1.92
RRS1,day 21,-1.75,-1.81
RSL1D1,day 5,0.77,-0.11
RSL1D1,day 13,-1.66,-3.44
RSL1D1,day 21,-1.86,-5.36
RSL24D1,day 5,-0.36,-0.6
RSL24D1,day 13,-3.44,-5.27
RSL24D1,day 21,-4.07,-6.47
RSRC1,day 5,0.63,0.15
RSRC1,day 13,0.08,0.87
RSRC1,day 21,1.09,1.68
RSRC2,day 5,-0.07,0
RSRC2,day 13,0.82,0.44
RSRC2,day 21,1.07,0.63
RTCA,day 5,-0.29,-0.07
RTCA,day 13,0.8,0.66
RTCA,day 21,0.73,1.59
RTCB,day 5,0.29,0.29
RTCB,day 13,-2.5,-2.77
RTCB,day 21,-2.15,-4.44
RTF1,day 5,0.61,-0.78
RTF1,day 13,-0.89,-3.87
RTF1,day 21,-0.66,-3.82
RTL3,day 5,-0.19,0.04
RTL3,day 13,1.12,1.07
RTL3,day 21,0.98,1.41
RTN4,day 5,0.16,0.44
RTN4,day 13,1.33,1.23
RTN4,day 21,1.17,2.1
RUVBL1,day 5,-0.7,-1.04
RUVBL1,day 13,-4.68,-6.56
RUVBL1,day 21,-3.39,-5.34
RUVBL2,day 5,-0.82,-0.53
RUVBL2,day 13,-2.66,-6.1
RUVBL2,day 21,-1.62,-5.11
RWDD4,day 5,0.17,0.09
RWDD4,day 13,1.44,1.13
RWDD4,day 21,1.41,2.02
S100A16,day 5,0.03,-0.02
S100A16,day 13,0.49,0.66
S100A16,day 21,0.37,0.91
S100A4,day 5,0.25,-0.09
S100A4,day 13,1.61,0.82
S100A4,day 21,2.02,1.39
S100A9,day 5,0.4,0.26
S100A9,day 13,1.56,1.17
S100A9,day 21,1.9,2.04
SAFB,day 5,-0.55,-0.41
SAFB,day 13,0.21,-0.15
SAFB,day 21,-0.47,0.07
SAFB2,day 5,0.1,0.05
SAFB2,day 13,0.58,0.78
SAFB2,day 21,0.9,1.52
SAMD4A,day 5,-0.22,0.2
SAMD4A,day 13,0.06,1.01
SAMD4A,day 21,-0.54,1.2
SAMD4B,day 5,0.98,0.38
SAMD4B,day 13,1.24,1.23
SAMD4B,day 21,1.42,2.02
SAMHD1,day 5,0.36,-0.01
SAMHD1,day 13,0.88,0.73
SAMHD1,day 21,1.51,1.47
SAMSN1,day 5,0.28,0.11
SAMSN1,day 13,0.93,1.23
SAMSN1,day 21,1.97,2.19
SAP130,day 5,0.28,0.41
SAP130,day 13,0.67,0.71
SAP130,day 21,0.79,1.03
SAP18,day 5,-1.06,-0.13
SAP18,day 13,-1.82,-3.05
SAP18,day 21,-2.33,-2.98
SAP30BP,day 5,0.01,-0.49
SAP30BP,day 13,-2.82,-3.11
SAP30BP,day 21,-2.11,-2.86
SARNP,day 5,-0.13,0.22
SARNP,day 13,0.83,1.15
SARNP,day 21,1.35,1.55
SARS1,day 5,-0.31,-0.57
SARS1,day 13,-1.37,-2.92
SARS1,day 21,-1.78,-2.77
SARS2,day 5,0.13,0.36
SARS2,day 13,-0.54,-1.93
SARS2,day 21,-1.4,-4.24
SART1,day 5,-0.31,-0.62
SART1,day 13,-2.2,-1.9
SART1,day 21,-0.88,-1.75
SART3,day 5,-0.11,0.22
SART3,day 13,-1.33,-2.82
SART3,day 21,-1.1,-2.94
SBDS,day 5,-0.38,0.37
SBDS,day 13,-0.31,-0.03
SBDS,day 21,-2.18,-4.51
SCAF1,day 5,0.24,0.11
SCAF1,day 13,0.96,1.06
SCAF1,day 21,1.72,1.67
SCAF11,day 5,-0.48,0.23
SCAF11,day 13,0.33,1.03
SCAF11,day 21,0.98,1.44
SCAF4,day 5,0.42,0.4
SCAF4,day 13,0.88,1.25
SCAF4,day 21,1.68,1.73
SCAF8,day 5,0.3,0.34
SCAF8,day 13,0.89,1.53
SCAF8,day 21,1.27,2
SCAMP2,day 5,-0.51,-0.09
SCAMP2,day 13,-0.7,0.96
SCAMP2,day 21,0.34,1.05
SCAMP3,day 5,-0.73,0.37
SCAMP3,day 13,-0.21,1.31
SCAMP3,day 21,0.15,2.18
SCG3,day 5,0.49,0.18
SCG3,day 13,1.5,1.47
SCG3,day 21,2.08,2
SDAD1,day 5,0.25,-0.06
SDAD1,day 13,-2.59,-3.6
SDAD1,day 21,-3.14,-3.62
SDS,day 5,0.66,-0.03
SDS,day 13,1.58,1.3
SDS,day 21,1.33,2.16
SEC23IP,day 5,0.75,-0.04
SEC23IP,day 13,0.61,0.39
SEC23IP,day 21,1,0.63
SEC31A,day 5,0.43,0.08
SEC31A,day 13,1.13,1.09
SEC31A,day 21,1.56,1.85
SEC61A1,day 5,0.04,-0.37
SEC61A1,day 13,-1.26,-3.12
SEC61A1,day 21,-2.21,-3.66
SEC61B,day 5,0.28,0.18
SEC61B,day 13,1.08,0.91
SEC61B,day 21,0.78,1.14
SEC62,day 5,0.02,-0.17
SEC62,day 13,0.69,0.43
SEC62,day 21,1.17,1.13
SEC63,day 5,0.26,0.22
SEC63,day 13,0.99,1.14
SEC63,day 21,1,1.25
SECISBP2,day 5,0.16,0.17
SECISBP2,day 13,0.21,-0.03
SECISBP2,day 21,-0.76,-0.06
SECISBP2L,day 5,0.45,0.1
SECISBP2L,day 13,1,0.59
SECISBP2L,day 21,1.63,1.12
SEPSECS,day 5,0.48,0.24
SEPSECS,day 13,0.76,0.06
SEPSECS,day 21,-0.8,-2.08
SEPTIN11,day 5,0.05,-0.08
SEPTIN11,day 13,0.25,0.35
SEPTIN11,day 21,0.58,1.09
SEPTIN7,day 5,0.33,-0.05
SEPTIN7,day 13,0.03,-0.36
SEPTIN7,day 21,0.04,-1.43
SERBP1,day 5,-0.91,-0.01
SERBP1,day 13,-2.31,-0.55
SERBP1,day 21,-1.6,-0.48
SERGEF,day 5,-0.4,0.11
SERGEF,day 13,0.11,1
SERGEF,day 21,0.55,1.26
SERPINH1,day 5,-0.11,0.39
SERPINH1,day 13,1.34,1.76
SERPINH1,day 21,2.34,2.75
SETD1A,day 5,-0.45,-0.42
SETD1A,day 13,-2.4,-1.29
SETD1A,day 21,-2.32,-1.38
SETD1B,day 5,-0.74,0.14
SETD1B,day 13,-1.17,-0.78
SETD1B,day 21,-2.78,-2.29
SETD7,day 5,0.05,-0.07
SETD7,day 13,0.93,0.72
SETD7,day 21,0.48,1.42
SETX,day 5,-0.2,-0.59
SETX,day 13,-1.89,-0.35
SETX,day 21,-1.33,-0.63
SF1,day 5,-0.39,-0.52
SF1,day 13,-3.46,-4.37
SF1,day 21,-2.81,-4.52
SF3A1,day 5,-1.96,-0.93
SF3A1,day 13,-3.79,-5.43
SF3A1,day 21,-3.08,-5
SF3A2,day 5,-0.53,-0.91
SF3A2,day 13,-3.23,-5.33
SF3A2,day 21,-2.61,-4.56
SF3A3,day 5,-0.45,-0.74
SF3A3,day 13,-1.09,-3.91
SF3A3,day 21,-1.28,-4.59
SF3B1,day 5,0.05,-0.77
SF3B1,day 13,-1.99,-5.39
SF3B1,day 21,-1.83,-4.8
SF3B2,day 5,-1.09,-0.87
SF3B2,day 13,-3.05,-3.91
SF3B2,day 21,-2.91,-4.15
SF3B3,day 5,-1.12,-1.17
SF3B3,day 13,-2.83,-5.9
SF3B3,day 21,-2.02,-4.91
SF3B4,day 5,-1.05,-1.05
SF3B4,day 13,-1.78,-4.71
SF3B4,day 21,-3.03,-4.34
SF3B5,day 5,-0.68,-1.08
SF3B5,day 13,-2.61,-6.26
SF3B5,day 21,-2.15,-5.27
SF3B6,day 5,-0.64,-0.51
SF3B6,day 13,-2.91,-2.69
SF3B6,day 21,-2.2,-2.65
SFN,day 5,-0.26,0.04
SFN,day 13,1.15,0.82
SFN,day 21,1.94,1.92
SFPQ,day 5,-1.41,-1.16
SFPQ,day 13,-4.11,-5.74
SFPQ,day 21,-3.33,-5.89
SFSWAP,day 5,0.03,-0.02
SFSWAP,day 13,-1.19,-2.03
SFSWAP,day 21,-0.73,-3.43
SHQ1,day 5,0.11,-0.01
SHQ1,day 13,-0.66,-1.09
SHQ1,day 21,-1.05,-2.28
SIDT1,day 5,0.22,0.2
SIDT1,day 13,1.55,1.6
